amount,avg_amount,max_amount,amount_ratio,amount_std,amount_zscore,is_new_location,is_new_device,impossible_travel,transactions_last_10min,transactions_last_1hr,transactions_last_24hr,transactions_last_7d,amount_last_1hr,amount_last_24hr,unique_merchants_last_24hr,num_unique_devices_30d,device_first_seen_days,is_unknown_device_type,is_high_risk_merchant,merchant_fraud_rate,amount_vs_merchant_avg,merchant_category_risk,is_high_risk_location,hour_of_day,is_night,is_weekend,day_of_week,time_since_last_txn_hours,is_round_amount,is_fraud
1880.49,1340.39,1468.08,1.4,180.57,2.99,0,0,0,2,2,2,2,2680.79,2680.79,2,1,0,0,0,0.0,0.82,0.1,0,18,0,1,6,0.0,0,False
589.94,6579.5,244350.0,0.09,0.0,0.0,1,1,0,1,1,1,1,589.94,589.94,1,1,0,0,0,0.0,0.26,0.1,0,18,0,1,6,24.0,0,False
2197.57,6579.5,244350.0,0.33,0.0,0.0,1,1,0,1,1,1,1,2197.57,2197.57,1,1,0,0,0,0.0,0.88,0.1,0,18,0,1,6,24.0,0,False
4952.81,6579.5,244350.0,0.75,0.0,0.0,1,1,0,1,1,1,1,4952.81,4952.81,1,1,0,0,0,0.0,1.92,0.3,0,18,0,1,6,24.0,0,False
1943.24,6579.5,244350.0,0.3,0.0,0.0,1,1,0,1,1,1,1,1943.24,1943.24,1,1,0,0,0,0.0,0.77,0.1,0,18,0,1,6,24.0,0,False
2739.61,6579.5,244350.0,0.42,0.0,0.0,1,1,0,1,1,1,1,2739.61,2739.61,1,1,0,0,0,0.0,1.06,0.3,0,18,0,1,6,24.0,0,False
183.15,6579.5,244350.0,0.03,0.0,0.0,1,1,0,1,1,1,1,183.15,183.15,1,1,0,0,0,0.0,0.07,0.3,0,18,0,1,6,24.0,0,False
4204.44,4072.42,4072.42,1.03,0.0,0.0,0,0,0,1,1,1,1,4072.42,4072.42,1,1,0,0,0,0.0,1.67,0.1,0,18,0,1,6,0.0,0,False
930.94,1539.66,1652.63,0.6,159.76,-3.81,0,0,0,2,2,2,2,3079.32,3079.32,1,1,0,0,0,0.0,0.38,0.1,0,18,0,1,6,0.0,0,False
1953.56,6579.5,244350.0,0.3,0.0,0.0,1,1,0,1,1,1,1,1953.56,1953.56,1,1,0,0,0,0.0,0.78,0.1,0,18,0,1,6,24.0,0,False
3423.36,3466.26,3466.26,0.99,0.0,0.0,0,0,0,1,1,1,1,3466.26,3466.26,1,1,0,0,0,0.0,1.41,0.1,0,18,0,1,6,0.0,0,False
2710.37,6579.5,244350.0,0.41,0.0,0.0,1,1,0,1,1,1,1,2710.37,2710.37,1,1,0,0,0,0.0,1.06,0.1,0,18,0,1,6,24.0,0,False
3381.88,6579.5,244350.0,0.51,0.0,0.0,1,1,0,1,1,1,1,3381.88,3381.88,1,1,0,0,0,0.0,1.35,0.5,0,18,0,1,6,24.0,0,False
3570.64,6579.5,244350.0,0.54,0.0,0.0,1,1,0,1,1,1,1,3570.64,3570.64,1,1,0,0,0,0.0,1.47,0.1,0,18,0,1,6,24.0,0,False
4077.31,6579.5,244350.0,0.62,0.0,0.0,1,1,0,1,1,1,1,4077.31,4077.31,1,1,0,0,0,0.0,1.67,0.1,0,18,0,1,6,24.0,0,False
4466.52,4895.66,4895.66,0.91,0.0,0.0,0,0,0,1,1,1,1,4895.66,4895.66,1,1,0,0,0,0.0,1.75,0.1,0,18,0,1,6,0.0,0,False
20300.0,585.57,585.57,34.67,0.0,0.0,1,1,1,1,1,1,1,585.57,585.57,1,1,0,1,1,1.0,0.24,1.0,1,18,0,1,6,0.0,1,True
3876.21,3490.66,3490.66,1.11,0.0,0.0,0,0,0,1,1,1,1,3490.66,3490.66,1,1,0,0,0,0.0,1.48,0.1,0,18,0,1,6,0.0,0,False
2210.81,6579.5,244350.0,0.34,0.0,0.0,1,1,0,1,1,1,1,2210.81,2210.81,1,1,0,0,0,0.0,0.97,0.1,0,18,0,1,6,24.0,0,False
3836.08,3683.43,3876.21,1.04,272.63,0.56,0,0,0,2,2,2,2,7366.87,7366.87,2,1,0,0,0,0.0,1.52,0.1,0,18,0,1,6,0.0,0,False
2525.65,2665.24,2665.24,0.95,0.0,0.0,0,0,0,1,1,1,1,2665.24,2665.24,1,1,0,0,0,0.0,1.0,0.1,0,18,0,1,6,0.0,0,False
2739.65,6579.5,244350.0,0.42,0.0,0.0,1,1,0,1,1,1,1,2739.65,2739.65,1,1,0,0,0,0.0,1.06,0.3,0,18,0,1,6,24.0,0,False
4076.16,6579.5,244350.0,0.62,0.0,0.0,1,1,0,1,1,1,1,4076.16,4076.16,1,1,0,0,0,0.0,1.58,0.3,0,18,0,1,6,24.0,0,False
1343.1,6579.5,244350.0,0.2,0.0,0.0,1,1,0,1,1,1,1,1343.1,1343.1,1,1,0,0,0,0.0,0.58,0.1,0,18,0,1,6,24.0,0,False
1060.27,1953.56,1953.56,0.54,0.0,0.0,0,0,0,1,1,1,1,1953.56,1953.56,1,1,0,0,0,0.0,0.47,0.1,0,18,0,1,6,0.0,0,False
2055.85,2739.61,2739.61,0.75,0.0,0.0,0,0,0,1,1,1,1,2739.61,2739.61,1,1,0,0,0,0.0,0.85,0.1,0,18,0,1,6,0.0,0,False
3116.76,6579.5,244350.0,0.47,0.0,0.0,1,1,0,1,1,1,1,3116.76,3116.76,1,1,0,0,0,0.0,1.24,0.5,0,18,0,1,6,24.0,0,False
1401.13,1504.74,1504.74,0.93,0.0,0.0,0,0,0,1,1,1,1,1504.74,1504.74,1,1,0,0,0,0.0,0.55,0.1,0,18,0,1,6,0.0,0,False
1150.81,6579.5,244350.0,0.17,0.0,0.0,1,1,0,1,1,1,1,1150.81,1150.81,1,1,0,0,0,0.0,0.46,0.1,0,18,0,1,6,24.0,0,False
3126.51,6579.5,244350.0,0.48,0.0,0.0,1,1,0,1,1,1,1,3126.51,3126.51,1,1,0,0,0,0.0,1.22,0.1,0,18,0,1,6,24.0,0,False
3218.3,3053.78,3053.78,1.05,0.0,0.0,0,0,0,1,1,1,1,3053.78,3053.78,1,1,0,0,0,0.0,1.33,0.1,0,18,0,1,6,0.0,0,False
2541.6,6579.5,244350.0,0.39,0.0,0.0,1,1,0,1,1,1,1,2541.6,2541.6,1,1,0,0,0,0.0,0.99,0.3,0,18,0,1,6,24.0,0,False
1485.19,6579.5,244350.0,0.23,0.0,0.0,1,1,0,1,1,1,1,1485.19,1485.19,1,1,0,0,0,0.0,0.62,0.1,0,18,0,1,6,24.0,0,False
2838.26,6579.5,244350.0,0.43,0.0,0.0,1,1,0,1,1,1,1,2838.26,2838.26,1,1,0,0,0,0.0,1.11,0.3,0,18,0,1,6,24.0,0,False
4006.51,6579.5,244350.0,0.61,0.0,0.0,1,1,0,1,1,1,1,4006.51,4006.51,1,1,0,0,0,0.0,1.57,0.1,0,18,0,1,6,24.0,0,False
134571.0,6579.5,244350.0,20.45,0.0,0.0,1,1,0,1,1,1,1,134571.0,134571.0,1,1,0,1,1,1.0,1.55,1.0,1,18,0,1,6,24.0,0,True
836.84,1129.56,1129.56,0.74,0.0,0.0,0,0,0,1,1,1,1,1129.56,1129.56,1,1,0,0,0,0.0,0.36,0.1,0,18,0,1,6,0.0,0,False
1867.81,6579.5,244350.0,0.28,0.0,0.0,1,1,0,1,1,1,1,1867.81,1867.81,1,1,0,0,0,0.0,0.77,0.1,0,18,0,1,6,24.0,0,False
1051.17,6579.5,244350.0,0.16,0.0,0.0,1,1,0,1,1,1,1,1051.17,1051.17,1,1,0,0,0,0.0,0.41,0.3,0,18,0,1,6,24.0,0,False
1546.86,6579.5,244350.0,0.24,0.0,0.0,1,1,0,1,1,1,1,1546.86,1546.86,1,1,0,0,0,0.0,0.61,0.3,0,18,0,1,6,24.0,0,False
6135.92,6579.5,244350.0,0.93,0.0,0.0,1,1,0,1,1,1,1,6135.92,6135.92,1,1,0,0,0,0.0,2.51,0.1,0,18,0,1,6,24.0,0,False
1961.02,6579.5,244350.0,0.3,0.0,0.0,1,1,0,1,1,1,1,1961.02,1961.02,1,1,0,0,0,0.0,0.77,0.1,0,18,0,1,6,24.0,0,False
4642.87,6579.5,244350.0,0.71,0.0,0.0,1,1,0,1,1,1,1,4642.87,4642.87,1,1,0,0,0,0.0,1.82,0.1,0,18,0,1,6,24.0,0,False
1538.56,1452.93,1504.74,1.06,73.26,1.17,0,0,0,2,2,2,2,2905.87,2905.87,2,1,0,0,0,0.0,0.66,0.1,0,18,0,1,6,0.0,0,False
2814.75,4138.43,4204.44,0.68,93.35,-14.18,0,0,0,2,2,2,2,8276.86,8276.86,2,1,0,0,0,0.0,1.12,0.1,0,18,0,1,6,0.0,0,False
2092.1,2627.92,2627.92,0.8,0.0,0.0,0,0,0,1,1,1,1,2627.92,2627.92,1,1,0,0,0,0.0,0.83,0.1,0,18,0,1,6,0.0,0,False
5773.95,6579.5,244350.0,0.88,0.0,0.0,1,1,0,1,1,1,1,5773.95,5773.95,1,1,0,0,0,0.0,2.29,0.1,0,18,0,1,6,24.0,0,False
3203.74,3697.2,4204.44,0.87,767.07,-0.64,0,0,0,3,3,3,3,11091.61,11091.61,3,1,0,0,0,0.0,1.39,0.1,0,18,0,1,6,0.0,0,False
2045.56,2360.01,2627.92,0.87,378.88,-0.83,0,0,0,2,2,2,2,4720.02,4720.02,2,1,0,0,0,0.0,0.84,0.1,0,18,0,1,6,0.0,0,False
1715.1,589.94,589.94,2.91,0.0,0.0,0,0,0,1,1,1,1,589.94,589.94,1,1,0,0,0,0.0,0.68,0.1,0,18,0,1,6,0.0,0,False
3117.95,2838.26,2838.26,1.1,0.0,0.0,0,0,0,1,1,1,1,2838.26,2838.26,1,1,0,0,0,0.0,1.28,0.1,0,18,0,1,6,0.0,0,False
5104.72,6579.5,244350.0,0.78,0.0,0.0,1,1,0,1,1,1,1,5104.72,5104.72,1,1,0,0,0,0.0,2.01,0.1,0,18,0,1,6,24.0,0,False
3520.92,4655.07,4656.62,0.76,2.18,-519.07,0,0,0,2,2,2,2,9310.15,9310.15,1,1,0,0,0,0.0,1.36,0.1,0,18,0,1,6,0.0,0,False
252.93,6579.5,244350.0,0.04,0.0,0.0,1,1,0,1,1,1,1,252.93,252.93,1,1,0,0,0,0.0,0.1,0.1,0,18,0,1,6,24.0,0,False
3972.25,4006.51,4006.51,0.99,0.0,0.0,0,0,0,1,1,1,1,4006.51,4006.51,1,1,0,0,0,0.0,1.71,0.1,0,18,0,1,6,0.0,0,False
423.16,786.18,786.18,0.54,0.0,0.0,0,0,0,1,1,1,1,786.18,786.18,1,1,0,0,0,0.0,0.16,0.3,0,18,0,1,6,0.0,0,False
5678.35,6579.5,244350.0,0.86,0.0,0.0,1,1,0,1,1,1,1,5678.35,5678.35,1,1,0,0,0,0.0,2.19,0.3,0,18,0,1,6,24.0,0,False
405.29,6579.5,244350.0,0.06,0.0,0.0,1,1,0,1,1,1,1,405.29,405.29,1,1,0,0,0,0.0,0.17,0.1,0,18,0,1,6,24.0,0,False
2196.07,1343.1,1343.1,1.64,0.0,0.0,0,0,0,1,1,1,1,1343.1,1343.1,1,1,0,0,0,0.0,0.95,0.1,0,18,0,1,6,0.0,0,False
3265.82,3381.88,3381.88,0.97,0.0,0.0,0,0,0,1,1,1,1,3381.88,3381.88,1,1,0,0,0,0.0,1.3,0.1,0,18,0,1,6,0.0,0,False
1976.76,1943.24,1943.24,1.02,0.0,0.0,0,0,0,1,1,1,1,1943.24,1943.24,1,1,0,0,0,0.0,0.77,0.1,0,18,0,1,6,0.0,0,False
565.17,6579.5,244350.0,0.09,0.0,0.0,1,1,0,1,1,1,1,565.17,565.17,1,1,0,0,0,0.0,0.22,0.1,0,18,0,1,6,24.0,0,False
2016.05,1562.38,1562.38,1.29,0.0,0.0,0,0,0,1,1,1,1,1562.38,1562.38,1,1,0,0,0,0.0,0.8,0.5,0,18,0,1,6,0.0,0,False
1919.1,1485.19,1485.19,1.29,0.0,0.0,0,0,0,1,1,1,1,1485.19,1485.19,1,1,0,0,0,0.0,0.79,0.1,0,18,0,1,6,0.0,0,False
68780.0,3570.64,3570.64,19.26,0.0,0.0,1,1,1,1,1,1,1,3570.64,3570.64,1,1,0,1,1,1.0,0.87,1.0,1,18,0,1,6,0.0,0,True
1687.2,6579.5,244350.0,0.26,0.0,0.0,1,1,0,1,1,1,1,1687.2,1687.2,1,1,0,0,0,0.0,0.69,0.1,0,18,0,1,6,24.0,0,False
3770.38,3734.32,3876.21,1.01,211.96,0.17,0,0,0,3,3,3,3,11202.95,11202.95,3,1,0,0,0,0.0,1.47,0.3,0,18,0,1,6,0.0,0,False
1351.65,2720.37,2720.37,0.5,0.0,0.0,0,0,0,1,1,1,1,2720.37,2720.37,1,1,0,0,0,0.0,0.54,0.1,0,18,0,1,6,0.0,0,False
3709.31,2197.57,2197.57,1.69,0.0,0.0,0,0,0,1,1,1,1,2197.57,2197.57,1,1,0,0,0,0.0,1.53,0.1,0,18,0,1,6,0.0,0,False
2963.02,3323.85,3381.88,0.89,82.07,-4.4,0,0,0,2,2,2,2,6647.7,6647.7,2,1,0,0,0,0.0,1.3,0.1,0,18,0,1,6,0.0,0,False
4491.09,4952.81,4952.81,0.91,0.0,0.0,0,0,0,1,1,1,1,4952.81,4952.81,1,1,0,0,0,0.0,1.84,0.1,0,18,0,1,6,0.0,0,False
1940.32,2710.37,2710.37,0.72,0.0,0.0,0,0,0,1,1,1,1,2710.37,2710.37,1,1,0,0,0,0.0,0.75,0.3,0,18,0,1,6,0.0,0,False
530.24,6579.5,244350.0,0.08,0.0,0.0,1,1,0,1,1,1,1,530.24,530.24,1,1,0,0,0,0.0,0.21,0.1,0,18,0,1,6,24.0,0,False
457.94,604.67,786.18,0.76,256.69,-0.57,0,0,0,2,2,2,2,1209.34,1209.34,2,1,0,0,0,0.0,0.18,0.1,0,18,0,1,6,0.0,0,False
2815.77,3126.51,3126.51,0.9,0.0,0.0,0,0,0,1,1,1,1,3126.51,3126.51,1,1,0,0,0,0.0,1.12,0.1,0,18,0,1,6,0.0,0,False
2192.84,6579.5,244350.0,0.33,0.0,0.0,1,1,0,1,1,1,1,2192.84,2192.84,1,1,0,0,0,0.0,0.91,0.1,0,18,0,1,6,24.0,0,False
3972.13,3573.84,4204.44,1.11,673.16,0.59,0,0,0,4,4,4,4,14295.35,14295.35,4,1,0,0,0,0.0,1.57,0.1,0,18,0,1,6,0.0,0,False
864.29,28840.0,28840.0,0.03,0.0,0.0,1,1,1,1,1,1,1,28840.0,28840.0,1,1,0,0,0,0.0,0.35,0.1,0,18,0,1,6,0.0,0,False
202.61,252.93,252.93,0.8,0.0,0.0,0,0,0,1,1,1,1,252.93,252.93,1,1,0,0,0,0.0,0.08,0.1,0,18,0,1,6,0.0,0,False
2528.78,1687.2,1687.2,1.5,0.0,0.0,0,0,0,1,1,1,1,1687.2,1687.2,1,1,0,0,0,0.0,1.05,0.1,0,18,0,1,6,0.0,0,False
1203.01,6579.5,244350.0,0.18,0.0,0.0,1,1,0,1,1,1,1,1203.01,1203.01,1,1,0,0,0,0.0,0.46,0.3,0,18,0,1,6,24.0,0,False
1214.7,6579.5,244350.0,0.18,0.0,0.0,1,1,0,1,1,1,1,1214.7,1214.7,1,1,0,0,0,0.0,0.48,0.1,0,18,0,1,6,24.0,0,False
1994.71,1769.59,2196.07,1.13,603.14,0.37,0,0,0,2,2,2,2,3539.17,3539.17,1,1,0,0,0,0.0,0.8,0.1,0,18,0,1,6,0.0,0,False
2528.54,6579.5,244350.0,0.38,0.0,0.0,1,1,0,1,1,1,1,2528.54,2528.54,1,1,0,0,0,0.0,0.99,0.3,0,18,0,1,6,24.0,0,False
1405.9,6579.5,244350.0,0.21,0.0,0.0,1,1,0,1,1,1,1,1405.9,1405.9,1,1,0,0,0,0.0,0.59,0.1,0,18,0,1,6,24.0,0,False
226.91,227.77,252.93,1.0,35.58,-0.02,0,0,0,2,2,2,2,455.54,455.54,2,1,0,0,0,0.0,0.09,0.1,0,18,0,1,6,0.0,0,False
1179.82,1506.91,1953.56,0.78,631.65,-0.52,0,0,0,2,2,2,2,3013.83,3013.83,2,1,0,0,0,0.0,0.52,0.1,0,18,0,1,6,0.0,0,False
3633.16,3653.5,4204.44,0.99,609.58,-0.03,0,0,0,5,5,5,5,18267.48,18267.48,5,1,0,0,0,0.0,1.45,0.1,0,18,0,1,6,0.0,0,False
3616.12,1867.81,1867.81,1.94,0.0,0.0,0,0,0,1,1,1,1,1867.81,1867.81,1,1,0,0,0,0.0,1.44,0.1,0,18,0,1,6,0.0,0,False
3748.37,5104.72,5104.72,0.73,0.0,0.0,0,0,0,1,1,1,1,5104.72,5104.72,1,1,0,0,0,0.0,1.5,0.1,0,18,0,1,6,0.0,0,False
542.99,14852.15,28840.0,0.04,19781.81,-0.72,0,0,0,2,2,2,2,29704.29,29704.29,2,2,0,0,0,0.0,0.24,0.1,0,18,0,1,6,0.0,0,False
2696.34,6579.5,244350.0,0.41,0.0,0.0,1,1,0,1,1,1,1,2696.34,2696.34,1,1,0,0,0,0.0,1.03,0.1,0,18,0,1,6,24.0,0,False
1518.46,6579.5,244350.0,0.23,0.0,0.0,1,1,0,1,1,1,1,1518.46,1518.46,1,1,0,0,0,0.0,0.62,0.1,0,18,0,1,6,24.0,0,False
2177.84,1702.14,1919.1,1.28,306.82,1.55,0,0,0,2,2,2,2,3404.29,3404.29,2,1,0,0,0,0.0,0.94,0.1,0,18,0,1,6,0.0,0,False
1690.44,1546.86,1546.86,1.09,0.0,0.0,0,0,0,1,1,1,1,1546.86,1546.86,1,1,0,0,0,0.0,0.66,0.3,0,18,0,1,6,0.0,0,False
2710.94,3136.04,3218.3,0.86,116.33,-3.65,0,0,0,2,2,2,2,6272.08,6272.08,2,1,0,0,0,0.0,1.08,0.1,0,18,0,1,6,0.0,0,False
862.4,1150.81,1150.81,0.75,0.0,0.0,0,0,0,1,1,1,1,1150.81,1150.81,1,1,0,0,0,0.0,0.33,0.1,0,18,0,1,6,0.0,0,False
810.38,10082.43,28840.0,0.08,16245.33,-0.57,0,0,0,3,3,3,3,30247.28,30247.28,3,2,0,0,0,0.0,0.31,0.1,0,18,0,1,6,0.0,0,False
538.41,555.76,786.18,0.97,200.31,-0.09,0,0,0,3,3,3,3,1667.28,1667.28,3,1,0,0,0,0.0,0.21,0.1,0,18,0,1,6,0.0,0,False
3260.8,2971.14,3126.51,1.1,219.73,1.32,0,0,0,2,2,2,2,5942.28,5942.28,2,1,0,0,0,0.0,1.3,0.1,0,18,0,1,6,0.0,0,False
4182.47,4006.63,4006.63,1.04,0.0,0.0,0,0,0,1,1,1,1,4006.63,4006.63,1,1,0,0,0,0.0,1.67,0.1,0,18,0,1,6,0.0,0,False
1464.08,1961.02,1961.02,0.75,0.0,0.0,0,0,0,1,1,1,1,1961.02,1961.02,1,1,0,0,0,0.0,0.56,0.1,0,18,0,1,6,0.0,0,False
3721.03,2953.44,3709.31,1.26,1068.96,0.72,0,0,0,2,2,2,2,5906.88,5906.88,2,1,0,0,0,0.0,1.47,0.1,0,18,0,1,6,0.0,0,False
1128.39,1518.46,1518.46,0.74,0.0,0.0,0,0,0,1,1,1,1,1518.46,1518.46,1,1,0,0,0,0.0,0.43,0.1,0,18,0,1,6,0.0,0,False
2386.75,36175.32,68780.0,0.07,46109.98,-0.73,0,0,1,2,2,2,2,72350.64,72350.64,2,2,0,0,0,0.0,0.93,0.3,0,18,0,1,6,0.0,0,False
1231.12,1618.65,1690.44,0.76,101.53,-3.82,0,0,0,2,2,2,2,3237.3,3237.3,2,1,0,0,0,0.0,0.49,0.1,0,18,0,1,6,0.0,0,False
1679.47,1860.71,2177.84,0.9,350.0,-0.52,0,0,0,3,3,3,3,5582.13,5582.13,3,1,0,0,0,0.0,0.72,0.1,0,18,0,1,6,0.0,0,False
554.24,565.17,565.17,0.98,0.0,0.0,0,0,0,1,1,1,1,565.17,565.17,1,1,0,0,0,0.0,0.21,0.1,0,18,0,1,6,0.0,0,False
3533.79,3067.69,3260.8,1.15,228.27,2.04,0,0,0,3,3,3,3,9203.08,9203.08,2,1,0,0,0,0.0,1.36,0.1,0,18,0,1,6,0.0,0,False
1267.3,1520.43,1880.49,0.83,336.95,-0.75,0,0,0,3,3,3,3,4561.28,4561.28,3,1,0,0,0,0.0,0.5,0.1,0,18,0,1,6,0.0,0,False
3944.65,3989.38,4006.51,0.99,24.23,-1.85,0,0,0,2,2,2,2,7978.76,7978.76,2,1,0,0,0,0.0,1.68,0.1,0,18,0,1,6,0.0,0,False
516.26,6579.5,244350.0,0.08,0.0,0.0,1,1,0,1,1,1,1,516.26,516.26,1,1,0,0,0,0.0,0.22,0.1,0,18,0,1,6,24.0,0,False
1174.34,1051.17,1051.17,1.12,0.0,0.0,0,0,0,1,1,1,1,1051.17,1051.17,1,1,0,0,0,0.0,0.47,0.1,0,18,0,1,6,0.0,0,False
660.46,6579.5,244350.0,0.1,0.0,0.0,1,1,0,1,1,1,1,660.46,660.46,1,1,0,0,0,0.0,0.29,0.1,0,18,0,1,6,24.0,0,False
3187.9,3209.3,3721.03,0.99,876.21,-0.02,0,0,0,3,3,3,3,9627.91,9627.91,3,1,0,0,0,0.0,1.4,0.1,0,18,0,1,6,0.0,0,False
5104.32,4094.55,4182.47,1.25,124.34,8.12,0,0,0,2,2,2,2,8189.1,8189.1,2,1,0,0,0,0.0,2.04,0.1,0,18,0,1,6,0.0,0,False
1690.75,1815.4,2177.84,0.93,299.8,-0.42,0,0,0,4,4,4,4,7261.6,7261.6,4,1,0,0,0,0.0,0.71,0.1,0,18,0,1,6,0.0,0,False
2295.52,6579.5,244350.0,0.35,0.0,0.0,1,1,0,1,1,1,1,2295.52,2295.52,1,1,0,0,0,0.0,0.99,0.1,0,18,0,1,6,24.0,0,False
2770.0,2036.01,2720.37,1.36,967.83,0.76,0,0,0,2,2,2,2,4072.02,4072.02,1,1,0,0,0,0.0,1.14,0.1,0,18,0,1,6,0.0,0,False
